sex,age,friends,postsOnTheWall,weeklyPostActivity,pages,occupation,relation,alcohol,smoking,lifeMain,peopleMain,political,followers,goodUser
1,0,213,64,0.05727619262475797,117,unknown,1,4,4,1,2,0,577,1
1,32,97,2620,1.1368930861709843,48,work,0,0,0,0,0,0,33,1
1,0,215,7,0.05041346879841398,120,unknown,0,0,0,0,0,0,238,1
1,44,185,29634,29.708833249975214,1258,unknown,4,2,1,1,2,0,76,1
1,34,3193,4962,2.1298078173402932,582,unknown,4,0,0,0,0,0,0,1
1,0,110,29,0.015293858340270888,8,unknown,0,0,0,0,0,0,93,1
1,47,143,1631,0.7001073920892331,742,unknown,0,0,0,0,0,0,83,1
1,36,65,146,0.07443124434160663,41,unknown,0,0,0,0,0,0,24,1
1,24,1100,2914,1.363407082435854,317,unknown,0,0,0,0,0,0,8,1
1,0,157,229,0.145461808599856,453,work,0,0,0,0,0,0,270,1
2,21,123,1208,0.5354003629610563,151,university,2,0,0,0,0,0,40,1
1,0,173,936,0.4061978360827706,289,unknown,0,0,0,0,0,0,234,1
1,21,191,131,0.08372448687591078,129,work,0,0,0,0,0,0,246,1
1,0,475,381,0.2030016285629034,115,university,0,0,0,0,0,0,193,1
1,34,76,1880,0.8188760859175,54,university,0,0,0,0,0,0,56,1
2,116,51,112405,49.18066582962878,1074,work,7,4,4,5,2,8,150,1
1,0,369,19,0.03453116466007911,378,university,0,0,0,0,0,0,3,1
1,0,156,1499,0.76925790402702,361,university,7,1,1,1,0,0,969,1
1,19,317,9,0.04027881267632664,48,school,0,0,0,0,0,0,587,1
1,14,51,15,0.008724352448571305,24,unknown,0,0,0,0,0,0,91,1
1,22,130,25,0.07511331417225145,229,unknown,0,0,0,0,0,0,353,1
1,0,188,319,0.14125060783947024,72,university,0,0,0,0,0,0,34,1
1,0,84,3625,1.6080418357035933,65,work,4,0,0,0,0,0,37,1
1,0,47,79,0.090916359945829,21,university,4,0,0,0,0,0,5,1
1,40,81,14272,6.334261294391252,123,work,1,3,1,4,2,0,177,1
1,0,93,1363,0.6054269602604655,70,unknown,0,0,0,0,0,0,11,1
1,24,413,3715,1.6544838752150832,396,work,7,1,1,4,2,3,164,1
1,0,119,905,0.4083332485598305,31,work,0,0,0,0,0,0,73,1
1,0,102,155,0.07407573347670572,52,university,0,0,0,0,0,0,32,1
1,0,112,191,0.13626952722573063,144,unknown,4,0,0,0,0,0,148,1
1,17,103,1569,12.13011569914268,633,work,0,0,0,0,0,0,214,1
1,0,813,13701,6.207137132985129,883,university,0,0,0,0,0,0,100,1
1,0,174,65,0.08224356701831453,72,university,0,0,0,0,0,0,13,1
1,31,164,2394,1.0918641656948802,306,unknown,1,2,2,6,3,3,107,1
2,101,72,714,0.36439972046006763,216,unknown,0,0,0,0,0,0,37,1
1,0,149,6144,5.968839231468501,724,school,0,0,0,0,0,0,59,1
1,0,105,5787,2.6600412488852294,303,work,0,3,1,6,2,3,30,1
1,20,115,11,0.06954518662645476,86,unknown,0,0,0,0,0,0,56,1
2,0,79,397,0.18356386508325637,45,unknown,0,0,0,0,0,0,68,1
2,18,16,6,0.021523775343269755,103,unknown,0,0,0,0,0,0,6,1
1,52,86,369,0.17110794093085704,53,university,0,2,2,0,0,0,35,1
1,0,75,1099,0.5422378009728994,41,unknown,1,0,0,0,0,0,402,1
1,0,6,199,0.0923648212964776,14,unknown,0,0,0,0,0,0,7,1
2,0,178,10441,4.9930897835964885,323,work,0,0,0,0,0,0,390,1
1,35,471,4026,1.874462561610628,158,unknown,4,3,3,1,2,0,20,1
